{'seed': 42, 'physical_batch_size': 8, 'num_coarse_points': 1024, 'global_feat_dim': 1024, 'grid_size': 2, 'grid_scale': 0.05, 'max_epoch': 50, 'learning_rate': 0.0001, 'gpu': 0, 'decay_step': 50000, 'decay_rate': 0.7, 'log_dir': 'log'}
Training on device: cuda:0 | Hostname: c1-24-25-16134
Physical Batch: 8 | Accumulation Steps: 4

**** EPOCH 001 ****
Batch [16200/28974] | Loss: 0.0027 | LR: 0.000100
Batch [16300/28974] | Loss: 0.0016 | LR: 0.000100
Batch [16400/28974] | Loss: 0.0011 | LR: 0.000100
Batch [16500/28974] | Loss: 0.0017 | LR: 0.000100
Batch [16600/28974] | Loss: 0.0013 | LR: 0.000100
Batch [16700/28974] | Loss: 0.0018 | LR: 0.000100
Batch [16800/28974] | Loss: 0.0019 | LR: 0.000100
Batch [16900/28974] | Loss: 0.0022 | LR: 0.000100
Batch [17000/28974] | Loss: 0.0012 | LR: 0.000100
Batch [17100/28974] | Loss: 0.0011 | LR: 0.000100
Batch [17200/28974] | Loss: 0.0016 | LR: 0.000100
Batch [17300/28974] | Loss: 0.0009 | LR: 0.000100
Batch [17400/28974] | Loss: 0.0012 | LR: 0.000100
Batch [17500/28974] | Loss: 0.0013 | LR: 0.000100
Batch [17600/28974] | Loss: 0.0021 | LR: 0.000100
Batch [17700/28974] | Loss: 0.0020 | LR: 0.000100
Batch [17800/28974] | Loss: 0.0010 | LR: 0.000100
Batch [17900/28974] | Loss: 0.0010 | LR: 0.000100
Batch [18000/28974] | Loss: 0.0009 | LR: 0.000100
Batch [18100/28974] | Loss: 0.0013 | LR: 0.000100
Batch [18200/28974] | Loss: 0.0023 | LR: 0.000100
Batch [18300/28974] | Loss: 0.0015 | LR: 0.000100
Batch [18400/28974] | Loss: 0.0019 | LR: 0.000100
Batch [18500/28974] | Loss: 0.0011 | LR: 0.000100
Batch [18600/28974] | Loss: 0.0013 | LR: 0.000100
Batch [18700/28974] | Loss: 0.0013 | LR: 0.000100
Batch [18800/28974] | Loss: 0.0016 | LR: 0.000100
Batch [18900/28974] | Loss: 0.0017 | LR: 0.000100
Batch [19000/28974] | Loss: 0.0010 | LR: 0.000100
Batch [19100/28974] | Loss: 0.0022 | LR: 0.000100
